Datetime,51J,51V,54J,57C,589,60A,60D,647,654,663,668,67V,680,690,695,709,71R,71U,71W,71X,71Y,833,851,864,A07,AD9,E65,E66,E67,F06,F0S,F46,F69,H34,IN1,IQ0,J60,JA1,JA2,JA3,JA4,JC9,JD0,JD1,JD3,JL1,L02,L59,L85,M48,M73,MB6,MB7,MW8,MW9,MX0,MX1,MY9,S31,S47,SB1,SB2,SB5,SB6,SD7,SD8,SH7,SH8,V45,V47,X03,X05,X08,Y32,Y33,Y46,Y47
2014/12/1 00:00,557.3265668,438.5803441,228.2504826,298.936512,1435.518042,478.9212036,682.8830946,297.6909432,264.3719778,296.5079526,263.6056341,6764.372761,438.9556374,12787.94348,14414.69928,1013.270219,8600.341172,352.1256078,7958.250455,6787.760595,8792.042003,272.9352633,1171.768849,624.6527532,747.4720647,722.2928914,6984.838438,5084.411842,6948.969667,272.9352633,352.1256078,1171.768849,624.6527532,10.53,1784.588698,1784.588698,311.7035922,579.8122764,734.3023317,674.4755052,858.1698837,851.3462748,956.102667,495.4249902,575.4527856,759.1741836,1793.619072,1213.514924,770.695695,687.5539776,464.8904061,783.7741674,779.2043193,2301.188358,2288.453023,2280.911967,441.2427474,2289.666847,3584.435614,3294.840868,756.3965652,653.3101774,610.2567201,503.8854598,597.0198094,517.0044697,620.3555408,534.7725086,787.822266,8107.718711,2317.380752,1442.057278,1605.849575,2211.818797,2206.777856,362.4605208,361.5384174
2014/12/2 00:00,554.1568035,434.9862699,229.5639036,300.175023,1439.595862,479.9689746,686.8253376,299.2418364,265.6471188,299.97522,266.6876472,6776.801089,442.0280016,12847.17992,14495.1897,1016.862332,8639.752605,356.6608959,7973.14631,6828.377286,8855.283075,274.7612413,1177.992551,628.0345818,742.2472898,726.0938297,7018.807481,5109.507697,7053.868915,274.7612413,356.6608959,1177.992551,628.0345818,10.59,1795.139956,1795.139956,311.9953866,583.5526872,739.6808328,676.2492228,861.21918,855.7321122,961.4689632,498.6327066,577.020381,762.7245144,1798.872703,1218.092926,774.544878,684.0257778,462.9295008,785.7431172,788.4509976,2309.636835,2316.969893,2318.911399,440.4640752,2297.816471,3543.931645,3257.754421,751.1063412,646.3499241,607.5291688,499.7780698,592.8223408,511.4764648,615.993364,529.0545898,789.4758636,8166.938061,2327.989505,1448.305603,1614.412818,2220.050921,2232.976831,363.6317118,365.776236
2014/12/3 00:00,562.1904183,439.7035998,230.9488779,302.321743,1449.586007,483.091445,691.911618,301.0750554,267.7261621,302.2446224,268.7047217,6803.174233,444.5000633,12972.40782,14548.9921,1021.97216,8723.696481,354.282812,8050.796849,6821.778436,8853.350988,275.9231331,1187.781611,631.4472694,747.4297335,731.9084729,7082.120584,5155.364898,7120.482367,275.9231331,354.282812,1187.781611,631.4472694,10.66,1805.826989,1805.826989,313.8536033,589.059891,742.1184925,679.444742,860.0864191,861.7728035,962.6337017,503.3501185,579.709734,768.2712335,1811.437083,1219.387424,777.3097186,689.1065709,463.7758683,793.8283293,797.2472948,2329.747453,2340.082727,2321.540047,442.574098,2317.90392,3571.13663,3282.216779,758.4037011,651.8742457,615.6422256,505.8742264,598.5565338,515.8294614,621.9537433,533.5542423,793.8283293,8211.619549,2348.136095,1457.689476,1627.550662,2230.94746,2244.089218,366.5261544,368.5533916
2014/12/4 00:00,563.9078282,442.5409319,230.85891,302.612355,1450.355504,483.555825,691.328844,301.6764405,267.3595755,298.447254,264.646278,6797.547014,440.949096,12895.34195,14396.52706,1020.146805,8671.559814,354.0160276,8003.00489,6761.340084,8769.502422,276.5003405,1187.987472,631.7422875,753.0804827,732.3250188,7082.688965,5155.641009,7052.496822,276.5003405,354.0160276,1187.987472,631.7422875,10.67,1804.443156,1804.443156,315.715158,591.497964,741.700962,683.217585,861.156684,862.289226,959.102694,505.39383,583.0747335,768.697776,1812.242444,1214.146422,779.6167785,692.8887015,463.995216,794.279439,788.945508,2326.995419,2311.141734,2328.861385,444.247416,2315.452473,3591.103937,3300.65847,763.8497389,658.3222593,617.9740258,509.1540881,602.8287689,520.9081727,626.3919763,538.8090974,796.151268,8219.201139,2346.961595,1457.530848,1625.371515,2227.47651,2217.036744,366.5665125,364.8969
2014/12/5 00:00,564.6452539,442.5438755,231.134943,303.189156,1453.873103,483.792573,695.276367,302.56531,267.941857,304.510605,269.38961,6808.967167,447.6962,12931.70373,14507.67255,1024.355132,8695.789394,355.6784321,8025.466867,6779.842442,8775.631465,277.7674315,1191.857783,634.451382,749.632069,734.3852727,7109.972862,5175.738339,7157.73597,277.7674315,355.6784321,1191.857783,634.451382,10.68,1807.281862,1807.281862,316.601845,592.341777,746.41763,685.606754,867.990305,863.090941,964.8625,506.251029,584.855625,769.514041,1816.951475,1223.44565,781.990961,691.221368,465.063725,797.899034,803.923435,2341.917884,2360.053675,2351.808413,444.490275,2330.06481,3589.609884,3299.209571,761.7471583,657.4057956,617.0681633,509.1000495,601.1442441,520.1627948,624.6414037,538.0359827,796.963265,8259.409117,2350.963651,1459.487717,1626.366522,2236.48791,2253.9188,367.445294,370.5072
2014/12/8 00:00,566.6470351,444.6629484,230.2575264,302.2130034,1450.372136,483.0402456,694.526778,302.2130034,266.8609647,301.7387976,266.4207704,6801.043976,444.5464728,12818.7118,14261.95683,1019.577824,8619.014745,352.0735514,7955.460107,6632.486249,8569.049728,278.561551,1190.39387,635.085297,753.5552971,731.8153576,7075.413338,5150.447904,7062.069874,278.561551,352.0735514,1190.39387,635.085297,10.61,1802.953974,1802.953974,317.8554984,590.9734611,738.6074384,683.8898814,859.1494008,859.0858254,952.4350596,504.9397386,583.4650635,765.8565552,1812.652321,1210.410215,780.5605005,691.7111289,461.8215948,799.6443444,799.2623112,2339.178702,2337.899844,2329.277129,444.5597079,2327.290406,3609.349296,3317.14749,766.0286226,659.3186503,619.7737936,509.9539236,604.4510348,521.6115098,628.0774592,539.537809,791.510247,8240.466366,2341.055802,1454.126335,1616.808283,2226.239888,2221.196798,366.3472329,365.4648032
2014/12/9 00:00,563.2524729,441.805413,230.2944,302.2614,1455.2979,484.3692,693.6993,301.6356,266.5908,300.1207936,265.3129696,6793.3719,433.164032,12863.6319,14418.56096,1017.2379,8649.1818,347.6410563,7983.3306,6658.504014,8508.812706,274.97652,1174.3137,626.4258,747.36165,732.276741,7086.2463,5158.4694,7071.789576,274.97652,347.6410563,1174.3137,626.4258,10.64,1806.3717,1806.3717,311.6484,594.51,748.7549696,683.0607,864.0075424,859.5363,959.9224352,508.1496,582.6198,766.2921,1818.5748,1223.301637,780.3726,687.7542,462.5573056,788.508,786.2700688,2312.331,2305.824963,2316.196097,434.3052,2300.4408,3554.2311,3266.3631,761.858307,654.643122,616.6747477,506.5621302,601.134093,517.890177,624.632883,535.687929,793.8273,8313.753,2344.2468,1459.9914,1620.1962,2221.2771,2221.899432,366.7188,366.6424128
2014/12/10 00:00,563.9178685,442.8828687,226.3226896,296.0325788,1434.523236,476.71561,682.4066732,296.97038,262.2717356,295.846308,261.4275872,6689.64856,437.3884632,12611.55054,14148.02788,1001.259081,8479.28585,348.9479296,7826.888815,6559.597491,8362.406036,274.6194514,1173.814502,626.763802,747.9652291,719.0278101,6965.987314,5071.003689,6941.75324,274.6194514,348.9479296,1173.814502,626.763802,10.45,1782.760081,1782.760081,314.4760024,578.9359408,729.7542264,670.8404584,849.6396584,844.9588812,944.3878224,494.5338328,572.058732,753.0543636,1793.075894,1206.975591,768.3717832,688.6586812,463.2991856,789.9412108,787.3765792,2305.42795,2297.159568,2304.418918,438.8909616,2293.549135,3583.025785,3292.932614,756.9931286,654.3789213,611.9687231,505.7231594,597.2699543,517.6600104,620.6180781,535.4500992,779.937998,8159.18304,2303.552348,1430.45943,1588.635233,2186.327198,2176.500682,358.8652592,357.3359328
2014/12/11 00:00,554.2405958,434.814753,227.5878696,296.989665,1440.556186,478.6222917,684.9519537,298.5527685,263.5392501,300.6159069,265.5245559,6723.846016,440.9813109,12683.64704,14343.39477,1003.199826,8527.667455,350.3564511,7871.789226,6605.012412,8405.669516,275.543885,1174.51597,628.6802277,735.9841568,723.1135625,6982.695955,5083.212582,7026.848086,275.543885,350.3564511,1174.51597,628.6802277,10.5,1793.817577,1793.817577,314.8090449,582.0997434,739.2577944,674.3228499,860.5179073,849.7030626,957.2140745,497.3795337,574.9094673,757.1673354,1800.695232,1221.958823,772.7983704,678.386919,460.4765059,789.6798882,795.0140521,2297.762145,2312.520031,2303.612693,438.2942214,2286.195179,3523.235289,3237.81259,745.744175,643.5047013,603.5166507,497.8526938,588.3709146,509.0371596,611.3704195,526.531414,784.0527156,8192.538064,2313.080559,1435.241634,1598.74226,2190.845866,2207.635882,360.1390464,363.0005309
2014/12/12 00:00,554.3576285,436.9067903,224.6089974,293.8399436,1425.34301,471.459611,673.8269922,294.466468,260.3208882,293.4672165,258.8730678,6640.218853,435.342096,12504.17398,14072.04455,989.908552,8406.704399,342.0565338,7760.131218,6479.365047,8211.073535,270.2199737,1151.551847,616.8132718,740.6865435,712.8030751,6885.816418,5012.508462,6861.69109,270.2199737,342.0565338,1151.551847,616.8132718,10.38,1777.449723,1777.449723,313.5754622,573.5830882,725.3110278,664.7423884,844.2527076,837.3498606,938.7063945,490.255343,567.004582,746.1905604,1781.835394,1203.021239,763.7332436,683.2248582,460.9961838,785.3483354,783.2270745,2278.982505,2272.330262,2277.706916,436.6875068,2267.705066,3551.140299,3263.5656,749.6458425,648.3243165,603.9011138,499.2868533,591.4233705,512.8290171,614.5421209,530.4531485,776.2637316,8088.430004,2284.621225,1420.330815,1574.455817,2161.822442,2155.720772,356.1791214,355.2702462
2014/12/15 00:00,548.6014897,430.1293033,223.1556096,291.7947648,1417.602278,468.8775168,669.7802496,292.7350272,258.57216,293.313464,258.989548,6590.926003,435.289662,12435.59708,14034.5812,981.007104,8359.872998,337.1181705,7717.673779,6414.028395,8201.86789,267.5359949,1132.07593,608.6631936,728.2802419,710.5876378,6843.856589,4981.823616,6834.359729,267.5359949,337.1181705,1132.07593,608.6631936,10.34,1768.320154,1768.320154,310.9134336,567.6050688,719.242058,657.8702592,838.2056305,834.3261696,938.0570225,484.8619776,561.023232,743.7475584,1771.767782,1199.776882,760.04544,674.1681408,456.352065,779.7909504,780.4790445,2263.525018,2266.158545,2274.797971,434.7146496,2251.928448,3523.163213,3237.636864,736.372767,638.4601091,596.3000316,494.2565895,580.8815739,504.9616535,603.5857766,522.3157632,771.6420096,7984.39488,2275.435008,1409.453338,1568.044262,2143.17143,2146.804928,353.8520832,354.160406
2014/12/16 00:00,538.6870085,425.9728311,221.7955848,287.5824108,1403.452288,465.5201116,667.266378,289.775305,256.881892,288.324545,255.551525,6512.895774,426.04926,12426.81816,14040.50799,980.536978,8353.67382,340.4265877,7712.408901,6398.00976,8095.828721,270.5718172,1142.497878,615.2634584,726.1079948,704.1759201,6776.669619,4933.072138,6744.99964,270.5718172,340.4265877,1142.497878,615.2634584,10.21,1758.387878,1758.387878,304.8122938,564.5136212,716.32458,647.2170596,825.56798,827.3476546,930.90983,482.436724,551.9827972,737.1257218,1754.31536,1189.19244,751.84944,668.832731,453.36011,768.1395112,763.533335,2230.173401,2217.64102,2215.564474,428.2409102,2218.89566,3461.013589,3180.323131,730.9104331,635.0402314,586.8516433,487.4323462,576.5463449,502.2385586,599.0830319,519.496636,759.0546638,7888.153708,2260.56065,1390.608193,1562.280482,2141.517822,2134.14785,348.9834484,347.628105
2014/12/17 00:00,540.8382143,424.5680502,226.0842584,295.0697464,1431.762446,474.1184448,678.2527752,295.6968872,262.1448544,297.359228,263.364152,6621.666137,428.259808,12712.45759,14374.44668,996.5267312,8545.420541,337.698768,7889.431264,6492.258815,8266.3516,270.6739693,1145.786242,614.9115544,723.7267546,719.5155041,6889.768829,5015.244978,6918.974836,270.6739693,337.698768,1145.786242,614.9115544,10.42,1788.291991,1788.291991,303.8497176,579.7916696,736.169232,662.5742552,845.187924,844.7586576,951.080632,495.1276616,565.0538608,752.56896,1789.546273,1213.663288,767.3067688,666.9642408,452.095436,769.1881912,770.164308,2245.791205,2247.973244,2248.654051,428.023596,2234.50267,3446.452266,3167.06104,729.5309427,631.3426434,590.0255725,488.134124,575.4361767,499.2918765,597.9285815,516.4504488,776.4003104,8075.692082,2297.530321,1424.863898,1594.819054,2177.119287,2200.301988,357.7838264,361.832648
2014/12/18 00:00,559.8169772,439.4931324,232.101738,302.864463,1467.461666,487.47655,697.563218,303.493465,269.212856,304.4230662,269.9527699,6793.850602,444.2407849,13005.55985,14538.3316,1020.241244,8742.184297,346.2120972,8071.353664,6650.200173,8595.431835,277.0124808,1173.403231,629.631002,760.8911394,738.5458433,7041.67739,5126.051799,7062.150368,277.0124808,346.2120972,1173.403231,629.631002,10.71,1821.589792,1821.589792,315.444503,592.205383,743.2415573,680.265663,857.8843405,866.764756,965.1682964,505.717608,579.939844,772.414456,1834.484333,1229.698773,785.937999,688.442689,461.2822797,794.115025,796.3025752,2322.904386,2329.649801,2311.938894,442.817408,2310.953348,3579.650382,3289.365959,746.0246771,648.0639056,603.3231389,501.0315663,588.418791,512.4951046,611.4213941,530.1071606,796.002031,8317.293446,2353.096482,1464.002155,1636.348703,2228.554086,2236.308886,367.337168,368.7159784
2014/12/19 00:00,567.464671,444.7348271,233.2079646,304.6495408,1473.83657,490.6494154,699.3091732,305.278982,270.0302748,305.8389635,270.65395,6810.553784,448.51226,13079.47342,14586.31466,1027.562759,8791.40524,350.686446,8117.273715,6690.809436,8610.675577,280.5734149,1191.217471,637.6239356,757.0415201,742.130058,7081.842941,5155.123428,7112.399158,280.5734149,350.686446,1191.217471,637.6239356,10.72,1826.323642,1826.323642,319.1266884,600.4869048,751.644684,684.517305,861.0662095,872.0907826,968.167844,512.6798574,583.4919924,777.0451614,1842.689113,1232.635418,787.1162206,696.1619672,465.524794,803.4816918,803.455583,2352.221764,2351.982826,2353.640978,448.476855,2340.262382,3614.25137,3320.931771,763.7073024,662.4805686,618.6955973,513.0554941,602.353198,523.8776163,625.897446,541.8796347,800.3344858,8395.172005,2363.551706,1475.095452,1643.156253,2244.90204,2258.02724,369.4819844,371.5692085
2014/12/22 00:00,574.0743734,450.7464432,234.3673038,305.1196974,1482.641677,495.5826141,705.9446415,306.6989919,271.638654,307.0268409,271.7942526,6873.089664,452.2160784,13149.83772,14632.36494,1033.80618,8838.36374,351.3968172,8160.846399,6715.698116,8659.358965,281.5566235,1195.210078,640.8777081,762.6792171,745.6512638,7151.045496,5205.670531,7163.056221,281.5566235,351.3968172,1195.210078,640.8777081,10.81,1836.719504,1836.719504,320.5967835,603.290499,753.4353498,685.7296719,861.0689712,878.4036009,972.9614769,515.1658659,584.6548239,782.3824953,1853.775884,1237.399475,794.3851335,701.8384758,468.477273,809.5463607,809.5751883,2369.573468,2369.488356,2373.19496,452.3099448,2357.57083,3646.275142,3350.315352,768.3204571,668.5627407,621.28217,516.8078664,605.918445,528.6182965,629.6015454,546.7865004,804.4926183,8486.181066,2380.944388,1478.535511,1661.101955,2258.706994,2267.275133,370.1866308,371.2972767
2014/12/23 00:00,581.4316624,456.3274661,236.0144701,304.6270213,1489.464132,500.2998525,712.1728694,308.7564804,273.4972527,310.4190905,274.6762165,6911.443931,455.7216435,13325.12921,14799.88089,1042.211947,8955.526185,353.419174,8269.718324,6778.682945,8800.770675,284.4562019,1209.613866,648.007428,768.5113976,750.9199018,7229.094631,5262.519147,7263.962122,284.4562019,353.419174,1209.613866,648.007428,10.87,1845.550567,1845.550567,321.1448577,607.6657891,757.593525,685.1725599,858.2174855,884.0218981,977.1013925,519.0412438,584.1596373,787.4560853,1862.068403,1240.122324,799.8444626,705.8198554,469.7079855,819.2211553,823.2516305,2406.521703,2418.471638,2420.87675,453.6051996,2394.133326,3684.112819,3384.885859,775.4012412,672.3998253,627.2874387,520.0044254,611.4775975,531.6329175,635.3776362,549.9010093,809.0563329,8514.627014,2390.321518,1472.628645,1676.560395,2277.237868,2291.429031,369.4277641,371.8035915
