Datetime,173,176,213,248,55N,59U,59V,59Z,61O,61P,62A,62B,62R,63Z,64A,65U,65Z,66K,67M,67X,68J,68K,691,AF4,C02,C23,CZ7,F0F,F0G,F15,F79,F80,FK0,FL0,H23,H28,J80,J81,K35,L50,L51,M74,M75,O32,O54,P31,S71,SE6,SI8,T06,T32,UF4,UN8,UW4,UW8,V09,V55,Y52
2014/2/6 00:00,12.345,9.25,12.86,10.24,6839.847751,334.3999953,545.6176099,4576.736672,1300.900883,367.8215251,966.7747611,962.039071,1109.912149,357.5575525,444.8093395,1069.629615,23581.45312,284.2202162,328.3443397,8198.870755,399.2472416,543.15294,1577.817796,1056.666251,24539.40306,24546.39809,11.6,399.2472416,543.15294,4576.736672,1300.900883,367.8215251,10.78,12,13.56,8.78,1318.854836,873.353341,9.89,1138.098082,1132.391584,1474.742528,1276.860843,32.31711666,32.28147462,10.53,1069.652888,574.492898,531.4028165,6401.040951,1357.805787,21.92,9.3,8.29,7.28,21694.46216,6665.481387,639.03903
2014/2/7 00:00,12.478,9.38,13.05,10.19,6951.908967,339.0811691,551.9989654,4631.159722,1313.631648,373.0106885,976.101294,972.6042986,1079.479848,362.4650288,453.2484773,1082.529784,23898.97355,287.0528416,334.1854586,8309.024255,402.2996922,549.9304679,1601.900815,1072.023772,24886.93402,24920.816,11.57,402.2996922,549.9304679,4631.159722,1313.631648,373.0106885,10.91,12.17,13.78,8.92,1337.654079,883.356467,9.99,1149.427692,1145.309735,1503.942076,1291.433706,32.77997492,32.77418042,10.67,1082.223035,558.5306339,516.6373394,6476.93382,1376.880579,22.27,9.25,8.34,7.29,22144.42387,6778.88665,645.2607308
2014/2/10 00:00,12.454,9.36,13.17,10.42,6965.214545,338.1133764,550.9646942,4617.95608,1310.648851,372.7528223,968.2517123,968.5605357,1078.505414,363.0564155,455.89071,1082.485363,23762.72597,287.1031905,334.4980029,8260.976564,401.3368409,549.5555286,1620.538009,1069.005184,24885.01083,24904.89504,11.75,401.3368409,549.5555286,4617.95608,1310.648851,372.7528223,11.03,12.36,13.82,9.01,1337.384386,880.4497842,10.04,1140.209814,1140.141221,1527.233879,1294.546767,32.75103062,32.80249116,10.66,1082.377758,557.9584671,516.1082401,6483.671099,1379.310566,22.34,9.41,8.51,7.41,22250.34536,6803.28227,645.6024125
2014/2/11 00:00,12.633,9.54,13.24,10.43,7081.822906,344.2696391,558.4271261,4700.943844,1336.697874,380.8342425,992.1849782,994.6014936,1095.873326,367.6223226,462.7890729,1097.393683,24170.93966,290.388187,337.8233254,8402.709068,409.5841758,561.7502583,1646.24256,1083.07496,25338.8779,25357.34845,11.78,409.5841758,561.7502583,4700.943844,1336.697874,380.8342425,11.07,12.39,13.87,9.03,1359.503229,894.5780588,10.15,1168.242319,1171.317896,1555.104342,1311.155877,33.20459688,33.2087267,10.83,1097.051218,566.9198403,524.3984957,6571.591097,1399.336583,22.47,9.55,8.46,7.4,22478.78232,6893.906781,652.8412958
2014/2/12 00:00,12.791,9.64,13.31,10.45,7125.508472,347.9906544,564.3961097,4718.98027,1344.985245,383.7706548,997.5104918,1000.079431,1107.83145,369.9316366,464.2487058,1111.008795,24386.35476,292.2429582,342.0122678,8477.170088,409.9898614,563.1394729,1650.884416,1095.592448,25605.39938,25712.01321,11.77,409.9898614,563.1394729,4718.98027,1344.985245,383.7706548,11.08,12.4,14.02,9.11,1376.242799,907.0760146,10.23,1174.434318,1177.586289,1555.357295,1325.259604,33.50324256,33.5468973,10.96,1111.046483,573.0844959,530.0977721,6639.954232,1411.14201,22.58,9.57,8.47,7.41,22671.13441,6968.613758,657.6225238
2014/2/13 00:00,12.74,9.62,13.27,10.4,7101.135367,345.7515807,562.4468986,4728.616605,1340.73766,380.2117248,996.5065347,992.4872815,1104.221684,367.6461399,461.2268661,1109.932515,24361.95439,290.4070005,339.6697587,8468.633044,410.8270761,560.6827941,1650.910582,1095.66152,25489.22009,25425.90799,11.6,410.8270761,560.6827941,4728.616605,1340.73766,380.2117248,11.18,12.47,14.03,9.1,1369.322223,904.0628403,10.23,1173.791646,1169.435953,1554.413275,1319.451283,33.41961189,33.41443104,10.88,1109.649407,571.1925586,528.3491635,6632.835073,1406.117246,22.62,9.58,8.34,7.31,22666.6465,6960.341188,653.4917739
2014/2/14 00:00,12.78,9.66,13.24,10.43,7158.72212,347.071164,565.462568,4761.7581,1349.31654,384.0846308,998.17861,998.254166,1110.879622,369.65082,466.073686,1106.52454,24435.49735,291.65389,340.21229,8494.07812,412.7464,565.44176,1660.0903,1098.421357,25569.63948,25553.80989,11.76,412.7464,565.44176,4761.7581,1349.31654,384.0846308,11.23,12.54,14.07,9.1,1377.54111,908.64906,10.27,1175.41677,1175.786248,1571.179714,1325.34083,33.505296,33.41575344,10.92,1106.307899,574.6127915,531.5141766,6661.90899,1416.69132,22.65,9.64,8.43,7.38,22730.18704,6984.82235,655.84189
2014/2/18 00:00,12.875,9.78,13.35,10.45,7222.816579,349.0957219,568.7596387,4815.008784,1361.066755,385.9210635,997.8931248,994.8649734,1122.892209,374.3995488,472.6752864,1114.703357,24678.81629,292.1772816,341.9354064,8577.511867,418.0896096,570.4558254,1669.021003,1112.728202,25785.32776,25761.63528,11.86,418.0896096,570.4558254,4815.008784,1361.066755,385.9210635,11.33,12.65,14.3,9.14,1391.710478,916.5810672,10.36,1175.383997,1171.702118,1581.548207,1331.636645,33.70809552,33.69393792,11,1114.596411,580.731929,537.1723316,6663.037675,1422.050798,22.85,9.53,8.48,7.46,22934.55129,7068.991157,657.1713312
2014/2/19 00:00,12.897,9.76,13.38,10.49,7237.009374,349.2316578,569.0295031,4823.05512,1366.835621,388.8278478,997.6747352,999.723774,1122.352227,374.3176112,473.773062,1122.34616,24662.19185,292.1133384,341.5572368,8571.387958,417.3914368,571.4496228,1677.755841,1112.502881,25806.6816,25830.02386,11.86,417.3914368,571.4496228,4823.05512,1366.835621,388.8278478,11.31,12.64,14.24,9.12,1390.495891,917.2904832,10.34,1175.126763,1177.545205,1594.966405,1342.568677,33.76138584,33.72806388,11,1122.137625,580.4289001,536.8940025,6667.342864,1417.18953,22.82,9.69,8.44,7.4,23024.7798,7084.430964,657.0275088
2014/2/20 00:00,12.81,9.68,13.26,10.37,7180.76831,346.4555065,564.10336,4774.81885,1355.5501,386.249394,1002.073695,1001.572563,1106.520958,370.496765,467.6506098,1118.176865,24500.80822,292.689405,335.848175,8515.346895,413.655535,567.2660249,1664.044125,1100.582068,25561.23744,25590.74166,11.74,413.655535,567.2660249,4774.81885,1355.5501,386.249394,11.31,12.62,14.15,9.11,1377.737355,910.58926,10.24,1180.179605,1179.546547,1576.341004,1330.62743,33.4632435,33.44233606,10.92,1118.167565,572.2184245,529.2967238,6595.3895,1402.660025,22.69,9.68,8.36,7.28,22866.54973,7023.026045,658.019275
