Datetime,51E,51G,57F,59D,59F,59I,67G,67H,68A,68P,696,69J,69K,69L,706,E78,E79
2014/2/27 00:00,483.5072472,400.2967641,548.2467393,379.6231636,341.2206604,497.46396,355.8227189,327.9239834,7863.557621,7095.035322,34521.26993,290.8268618,262.2478344,27.35465256,3499.940386,3962.591886,2366.687072
2014/3/3 00:00,485.0100179,401.1582546,552.4903099,379.8080954,341.3292167,500.4459402,356.7268422,328.0271261,7885.588676,7133.761188,34620.9687,290.7934203,262.4941807,27.37744672,3510.172691,3975.745864,2374.635773
2014/3/4 00:00,486.09632,402.2750858,552.3304023,380.6741806,342.2725713,500.2686971,357.6757485,328.9049225,7835.265058,7084.792306,34515.87682,291.5666489,263.5082761,27.34162332,3488.044906,3966.242161,2368.808129
2014/3/5 00:00,483.8560571,400.1730291,551.3846869,378.8956252,340.4688158,499.4278451,356.009516,327.3563501,7828.020647,7097.416215,34485.78495,290.2043637,262.9772029,27.40910328,3484.819893,3963.789129,2367.52854
2014/3/6 00:00,483.361372,399.6070364,549.338724,378.5016716,339.9904456,497.5677109,355.6375264,327.0118592,7805.042882,7116.569337,34385.67301,289.9258518,264.1835553,27.61000506,3474.804242,3962.714184,2366.77259
2014/3/7 00:00,481.9841657,398.2846834,554.7153715,377.4355727,338.8586571,502.4717583,354.6167059,326.0703944,7774.778846,7153.54447,34252.84642,289.0692837,265.8441619,27.7096673,3461.316027,3953.452012,2361.283005
2014/3/10 00:00,480.9074879,397.268766,556.6158477,376.6168553,338.0120356,504.1422647,353.7511569,325.2751744,7776.157021,7100.678666,34261.55011,288.3686027,263.1321629,27.24724425,3462.303436,3957.221471,2363.597528
2014/3/11 00:00,480.4673605,397.0659365,554.999364,376.2458863,337.848501,502.7082933,353.4559623,324.998863,7778.273795,7115.41215,34271.8635,288.1167653,263.3936382,27.29906048,3463.34111,3955.809548,2362.63627
2014/3/12 00:00,482.0030357,398.3481101,556.5474527,377.4495665,338.9330648,504.1199842,354.5462209,326.0233541,7800.502872,7074.817771,34371.11766,289.0256419,261.9445218,27.01425804,3473.471587,3971.634543,2372.045441
2014/3/13 00:00,482.185534,398.927639,560.3992883,377.5895784,339.4360334,507.5945495,354.8249334,326.293245,7817.682622,7169.936013,34447.15729,289.2627558,265.1015577,27.31197254,3480.865985,3980.47406,2377.539524
2014/3/14 00:00,484.2968906,400.8058081,557.5643262,379.2646227,341.0130678,505.0187765,356.4169902,327.7359196,7812.553479,7133.331374,34425.79177,290.5477519,265.0244087,27.39523311,3478.795105,3983.144439,2378.948967
